Date,Value
2020-07-02,2.5186373489688
2020-07-03,2.7190042196175863
2020-07-04,2.659567976947248
2020-07-05,2.8264548020031053
2020-07-06,2.4326428845419126
2020-07-07,2.4892309523818983
2020-07-08,2.659149735542273
2020-07-09,2.9722232385836396
2020-07-10,2.7712110692069114
2020-07-11,2.6459579714603647
2020-07-12,3.0368344603825905
2020-07-13,2.9114788632384214
2020-07-14,2.841736001347601
2020-07-15,3.1015066100224056
2020-07-16,2.4975800558181236
2020-07-17,2.590856893095428
2020-07-18,2.637935315155525
2020-07-19,2.8896363987109077
2020-07-20,2.746958428048607
2020-07-21,3.095206001247488
2020-07-22,3.0348668127338936
2020-07-23,2.9950314135098073
2020-07-24,2.5968622779617445
2020-07-25,2.8641965362787554
2020-07-26,2.685752202861751
2020-07-27,2.8707661294774978
2020-07-28,3.042291929726451
2020-07-29,2.795220459897534
2020-07-30,3.0634043734784226
2020-07-31,2.621066181836249
2020-08-01,2.7296909915697576
2020-08-02,2.7568812271029066
2020-08-03,3.1332491324174265
2020-08-04,3.0939544021271495
2020-08-05,2.9071734446895503
2020-08-06,2.9669060750387954
2020-08-07,3.179941597884321
2020-08-08,2.993139846046649
2020-08-09,3.134934153332279
2020-08-10,3.115223200594687
2020-08-11,3.341116548375705
2020-08-12,3.125825398361183
2020-08-13,2.8743925036514923
2020-08-14,3.2716888537839504
2020-08-15,3.478259550766764
2020-08-16,3.4895736322138324
2020-08-17,3.7573166155253443
2020-08-18,3.3304712030579364
2020-08-19,3.276607464494782
2020-08-20,3.718825951281626
2020-08-21,3.497643713672979
2020-08-22,3.4060071523219007
2020-08-23,3.3517943393763403
2020-08-24,3.2618575381745303
2020-08-25,3.0959360922426415
2020-08-26,3.0922617048140766
2020-08-27,3.0147131379242667
2020-08-28,2.871082700439615
2020-08-29,2.9982524562148263
2020-08-30,2.985890730326468
2020-08-31,2.9053660205159635
2020-09-01,3.0716552369790175
2020-09-02,3.018382229929258
2020-09-03,3.0329263261318875
2020-09-04,3.040938748046787
2020-09-05,3.209747159945186
2020-09-06,3.216467287383888
2020-09-07,3.4465263540298308
2020-09-08,3.2188164942224016
2020-09-09,3.1162453483482273
2020-09-10,3.175261167504697
2020-09-11,3.219728262989509
2020-09-12,3.30384641729768
2020-09-13,2.8717089356835395
2020-09-14,2.982984223344875
2020-09-15,2.9722322836795567
2020-09-16,2.961053619776191
2020-09-17,3.107764807013672
2020-09-18,2.8882797192513494
2020-09-19,2.8785803320106678
2020-09-20,3.0969983345401872
2020-09-21,3.036620889721915
2020-09-22,3.3160216262296878
2020-09-23,3.3250076296727133
2020-09-24,2.9542994273353727
2020-09-25,2.7151817582859694
2020-09-26,2.847601247443807
2020-09-27,2.7907210846578367
2020-09-28,2.8401837767081632
2020-09-29,3.123324646943166
